Codebook 2020,,,,,,,,,,,,,,
Variable,Type,Description and Labels,Response Codes,Section,Availability,Template,Notes,Preserved,Handle1,Target1,Handle2,Target2,Special mapping,NaiveScale
ZTVSIZE2,Num,Imputation indicator for TVSIZE2,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTVSIZE3,Num,Imputation indicator for TVSIZE3,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTVTYPE1,Num,Imputation indicator for TVTYPE1,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTVTYPE2,Num,Imputation indicator for TVTYPE2,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTVTYPE3,Num,Imputation indicator for TVTYPE3,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTVUSE1,Num,Imputation indicator for TVUSE1,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTVUSE2,Num,Imputation indicator for TVUSE2,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTVUSE3,Num,Imputation indicator for TVUSE3,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTYPEGLASS,Num,Imputation indicator for TYPEGLASS,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZTYPERFR1,Num,Imputation indicator for TYPERFR1,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZTYPERFR2,Num,Imputation indicator for TYPERFR2,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZTYPETHERM,Num,Imputation indicator for TYPETHERM,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,,,Categorical,0,,,,,,
ZUGASHERE,Num,Imputation indicator for UGASHERE,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZUPRTFRZR,Num,Imputation indicator for UPRTFRZR,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZUSECFAN,Num,Imputation indicator for USECFAN,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
ZUSECOFFEE,Num,Imputation indicator for USECOFFEE,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZUSEDEHUM,Num,Imputation indicator for USEDEHUM,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
ZUSEEQUIPAUX,Num,Imputation indicator for USEEQUIPAUX,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZUSEHUMID,Num,Imputation indicator for USEHUMID,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZVCR,Num,Imputation indicator for VCR,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZWALLTYPE,Num,Imputation indicator for WALLTYPE,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZWASHLOAD,Num,Imputation indicator for WASHLOAD,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZWASHTEMP,Num,Imputation indicator for WASHTEMP,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZWHEATAGE,Num,Imputation indicator for WHEATAGE,"1 Imputed
0 Not imputed",WATER HEATING,,,Categorical,0,,,,,,
ZWHEATBKT,Num,Imputation indicator for WHEATBKT,"1 Imputed
0 Not imputed
-2 Not applicable",WATER HEATING,,,Categorical,0,,,,,,
ZWHEATSIZ,Num,Imputation indicator for WHEATSIZ,"1 Imputed
0 Not imputed",WATER HEATING,,,Categorical,0,,,,,,
ZWHYPOWEROUT,Num,Imputation indicator for WHYPOWEROUT,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY BILLS,,,Categorical,0,,,,,,
ZWINDOWS,Num,Imputation indicator for WINDOWS,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZWINECHILL,Num,Imputation indicator for WINECHILL,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZWINFRAME,Num,Imputation indicator for WINFRAME,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZYEARMADERANGE,Num,Imputation indicator for YEARMADERANGE,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZTOTROOMS,Num,Imputation indicator for TOTROOMS,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZDNTHEAT,Num,Imputation indicator for DNTHEAT,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZTYPEHUQ,Num,Imputation indicator for TYPEHUQ,0 Not imputed,YOUR HOME,,,Categorical,0,,,,,,
ZSTUDIO,Num,Imputation indicator for STUDIO,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZOUTGRILL,Num,Imputation indicator for OUTGRILL,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZHOUSEHOLDER_RACE,Num,Imputation indicator for HOUSEHOLDER_RACE,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,,,Categorical,0,,,,,,
ZACEQUIPM_PUB,Num,Imputation indicator for ACEQUIPM_PUB,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
ZACEQUIPAUXTYPE_PUB,Num,Imputation indicator for ACEQUIPAUXTYPE_PUB,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
NWEIGHT,Num,Final Analysis Weight,437.9-29279.1,WEIGHTS,,,Numerical,1,,,,,,
NWEIGHT1,Num,Final Analysis Weight for replicate 1,0-30015.5,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT2,Num,Final Analysis Weight for replicate 2,0-29421.7,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT3,Num,Final Analysis Weight for replicate 3,0-29431.4,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT4,Num,Final Analysis Weight for replicate 4,0-29493.5,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT5,Num,Final Analysis Weight for replicate 5,0-30039.3,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT6,Num,Final Analysis Weight for replicate 6,0-29419.2,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT7,Num,Final Analysis Weight for replicate 7,0-29586.5,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT8,Num,Final Analysis Weight for replicate 8,0-29498.7,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT9,Num,Final Analysis Weight for replicate 9,0-29844.7,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT10,Num,Final Analysis Weight for replicate 10,0-29634.6,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT11,Num,Final Analysis Weight for replicate 11,0-29681.4,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT12,Num,Final Analysis Weight for replicate 12,0-29848.6,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT13,Num,Final Analysis Weight for replicate 13,0-29842.6,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT14,Num,Final Analysis Weight for replicate 14,0-30184.4,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT15,Num,Final Analysis Weight for replicate 15,0-29969.9,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT16,Num,Final Analysis Weight for replicate 16,0-29824.7,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT17,Num,Final Analysis Weight for replicate 17,0-30606.1,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT18,Num,Final Analysis Weight for replicate 18,0-29689.2,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT19,Num,Final Analysis Weight for replicate 19,0-29336.1,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT20,Num,Final Analysis Weight for replicate 20,0-30274.2,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT21,Num,Final Analysis Weight for replicate 21,0-29766.5,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT22,Num,Final Analysis Weight for replicate 22,0-29791.4,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT23,Num,Final Analysis Weight for replicate 23,0-30126.3,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT24,Num,Final Analysis Weight for replicate 24,0-29946.3,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT25,Num,Final Analysis Weight for replicate 25,0-30445.2,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT26,Num,Final Analysis Weight for replicate 26,0-29893.3,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT27,Num,Final Analysis Weight for replicate 27,0-30029.7,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT28,Num,Final Analysis Weight for replicate 28,0-29599.5,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT29,Num,Final Analysis Weight for replicate 29,0-30136.0,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT30,Num,Final Analysis Weight for replicate 30,0-29895.0,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT31,Num,Final Analysis Weight for replicate 31,0-29604.3,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT32,Num,Final Analysis Weight for replicate 32,0-29310.0,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT33,Num,Final Analysis Weight for replicate 33,0-29408.1,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT34,Num,Final Analysis Weight for replicate 34,0-29563.8,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT35,Num,Final Analysis Weight for replicate 35,0-30437.1,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT36,Num,Final Analysis Weight for replicate 36,0-27896.2,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT37,Num,Final Analysis Weight for replicate 37,0-30596.1,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT38,Num,Final Analysis Weight for replicate 38,0-30129.9,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT39,Num,Final Analysis Weight for replicate 39,0-29261.7,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT40,Num,Final Analysis Weight for replicate 40,0-30344.3,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT41,Num,Final Analysis Weight for replicate 41,0-29593.8,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT42,Num,Final Analysis Weight for replicate 42,0-29938.3,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT43,Num,Final Analysis Weight for replicate 43,0-29878.1,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT44,Num,Final Analysis Weight for replicate 44,0-29896.1,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT45,Num,Final Analysis Weight for replicate 45,0-29729.0,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT46,Num,Final Analysis Weight for replicate 46,0-29102.7,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT47,Num,Final Analysis Weight for replicate 47,0-30069.6,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT48,Num,Final Analysis Weight for replicate 48,0-29343.3,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT49,Num,Final Analysis Weight for replicate 49,0-29590.4,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT50,Num,Final Analysis Weight for replicate 50,0-30026.6,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT51,Num,Final Analysis Weight for replicate 51,0-29246.6,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT52,Num,Final Analysis Weight for replicate 52,0-29445.5,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT53,Num,Final Analysis Weight for replicate 53,0-30131.5,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT54,Num,Final Analysis Weight for replicate 54,0-29439.3,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT55,Num,Final Analysis Weight for replicate 55,0-29216.0,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT56,Num,Final Analysis Weight for replicate 56,0-29202.9,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT57,Num,Final Analysis Weight for replicate 57,0-29818.7,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT58,Num,Final Analysis Weight for replicate 58,0-29817.8,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT59,Num,Final Analysis Weight for replicate 59,0-29606.4,WEIGHTS,,,Numerical,0,,,,,,
NWEIGHT60,Num,Final Analysis Weight for replicate 60,0-29818.2,WEIGHTS,,,Numerical,0,,,,,,
KWH,Num,"Total electricity use, in kilowatthours, 2020, including self-generation of solar power",42.01-184101.84,End-use Model,,,Numerical,0,,,,,,
BTUEL,Num,"Total electricity use, in thousand Btu, 2020, including self-generation of solar power",143.32-628155.47,End-use Model,,,Numerical,0,,,,,,
DOLLAREL,Num,"Total electricity cost, in dollars, 2020",-889.48-15680.18,End-use Model,,,Numerical,0,,,,,,
ELXBTU,Num,Conversion factor from kilowatthours to thousand Btu,3.412,End-use Model,,,Categorical,0,,,,,,
PERIODEL,Num,Number of days covered by Energy Supplier Survey electricity billing data and used to calculate annual consumption and expenditures,"1  330 days or more
2  At least 146, but fewer than 330 days
3  At least 60, but fewer than 146 days
4  Fewer than 60 days
5  No billing data collected or billing data not used",End-use Model,,,Numerical,0,,,,,,
ZELAMOUNT,Num,Imputation flag for total electricity use,"0 Not imputed
1 Imputed amount and cost
2 Imputed only amount for SOLAR=1 cases",End-use Model,,,Categorical,0,,,,,,
KWHSPH,Num,"Calibrated electricity usage for space heating, main and secondary, in kilowatt-hours, 2020",0-49544.4,End-use Model,,Heating,Numerical,1,,,,,,
KWHCOL,Num,"Calibrated electricity usage for space cooling (central air conditioning, individual units, and evaporative coolers), in kilowatthours, 2020",0-31758.14,End-use Model,,AC,Numerical,1,,,,,,
KWHWTH,Num,"Calibrated electricity usage for water heating, main and secondary, in kilowatthours, 2020",0-25824.46,End-use Model,,DHW,Numerical,1,,,,,,
KWHRFG,Num,"Calibrated electricity usage for all refrigerators, in kilowatthours, 2020",0-9278.57,End-use Model,,Fridge,Numerical,1,,,,,,
KWHRFG1,Num,"Calibrated electricity usage for first refrigerators, in kilowatt-hours, 2020",0-2181.92,End-use Model,,Fridge,Numerical,1,,,,,,
KWHRFG2,Num,"Calibrated electricity usage for second refrigerators, in kilowatt-hours, 2020",0-1953.3,End-use Model,,Fridge,Numerical,1,,,,,,
KWHFRZ,Num,"Calibrated electricity usage for freezers, in kilowatt-hours, 2020",0-4693.99,End-use Model,,Fridge,Numerical,1,,,,,,
KWHCOK,Num,"Calibrated electricity usage for cooking (cooktops, ovens, and ranges), in kilowatt-hours, 2020",0-3205.28,End-use Model,,Catering,Numerical,1,,,,,,
KWHMICRO,Num,"Calibrated electricity usage for microwaves, in kilowatt-hours, 2020",0-782.51,End-use Model,,Catering,Numerical,1,,,,,,
KWHCW,Num,"Calibrated electricity usage for clothes washers, in kilowatt-hours, 2020",0-733.16,End-use Model,,Housework,Numerical,1,,,,,,
KWHCDR,Num,"Calibrated electricity usage for clothes dryers, in kilowatt-hours, 2020",0-7881.8,End-use Model,,Housework,Numerical,1,,,,,,
KWHDWH,Num,"Calibrated electricity usage for dishwashers, in kilowatt-hours, 2020",0-1098.97,End-use Model,,Catering,Numerical,1,,,,,,
KWHLGT,Num,"Calibrated electricity usage for indoor and outdoor lighting, in kilowatthours, 2020",3.91-14482.85,End-use Model,,Lighting,Numerical,1,,,,,,
KWHTVREL,Num,"Calibrated electricity usage for televisions and related peripherals, in kilowatt-hours, 2020",0-5911.44,End-use Model,,TV,Numerical,1,,,,,,
KWHTV1,Num,"Calibrated electricity usage for first televisions, in kilowatt-hours, 2020",0-1998.69,End-use Model,,TV,Numerical,1,,,,,,
KWHTV2,Num,"Calibrated electricity usage for second televisions, in kilowatt-hours, 2020",0-1412.35,End-use Model,,TV,Numerical,1,,,,,,
KWHTV3,Num,"Calibrated electricity usage for third televisions, in kilowatt-hours, 2020",0-1401.68,End-use Model,,TV,Numerical,1,,,,,,
KWHAHUHEAT,Num,"Calibrated electricity usage for distributing space heating via furnace fans and boiler pumps, in kilowatt-hours, 2020",0-9722.82,End-use Model,,AC,Numerical,1,,,,,,
KWHAHUCOL,Num,"Calibrated electricity usage for furnace fans used for cooling, in kilowatt-hours, 2020",0-9052.71,End-use Model,,AC,Numerical,1,,,,,,
KWHCFAN,Num,"Calibrated electricity usage for ceiling fans, in kilowatt-hours, 2020",0-2250.68,End-use Model,,AC,Numerical,1,,,,,,
KWHDHUM,Num,"Calibrated electricity usage for dehumidifiers, in kilowatt-hours, 2020",0-11301.76,End-use Model,,AC,Numerical,1,,,,,,
KWHHUM,Num,"Calibrated electricity usage for humidifiers, in kilowatt-hours, 2020",0-1899.64,End-use Model,,AC,Numerical,1,,,,,,
KWHPLPMP,Num,"Calibrated electricity usage for swimming pool pumps, in kilowatt-hours, 2020",0-16367.59,End-use Model,,DHW,Numerical,1,,,,,,
KWHHTBPMP,Num,"Calibrated electricity usage for hot tub pumps, in kilowatt-hours, 2020",0-2218.44,End-use Model,,DHW,Numerical,1,,,,,,
KWHHTBHEAT,Num,"Calibrated electricity usage for hot tub heaters, in kilowatt-hours, 2020",0-6493.69,End-use Model,,DHW,Numerical,1,,,,,,
KWHEVCHRG,Num,"Calibrated electricity usage for charging electric vehicles, in kilowatt-hours, 2020",0-22743.16,End-use Model,,Special,Numerical,1,,,,,,
KWHNEC,Num,"Calibrated electricity usage for other purposes not elsewhere classified, in kilowatt-hours, 2020",0-163828.84,End-use Model,,Special,Numerical,1,,,,,,
KWHOTH,Num,"Calibrated electricity usage for end uses other than space heating, space cooling, water heating, and refrigerators, in kilowatt-hours, 2020",15.51-175602.87,End-use Model,,,Numerical,1,,,,,,
BTUELSPH,Num,"Calibrated electricity usage for space heating, main and secondary, in thousand Btu, 2020",0-169045.5,End-use Model,,,Numerical,0,,,,,,
BTUELCOL,Num,"Calibrated electricity usage for space cooling (central air conditioning, individual units, and evaporative coolers), in thousand Btu, 2020",0-108358.78,End-use Model,,,Numerical,0,,,,,,
BTUELWTH,Num,"Calibrated electricity usage for water heating, main and secondary, in thousand Btu, 2020",0-88113.06,End-use Model,,,Numerical,0,,,,,,
BTUELRFG,Num,"Calibrated electricity usage for all refrigerators, in thousand Btu, 2020",0-31658.47,End-use Model,,,Numerical,0,,,,,,
BTUELRFG1,Num,"Calibrated electricity usage for first refrigerators, in thousand Btu, 2020",0-7444.7,End-use Model,,,Numerical,0,,,,,,
BTUELRFG2,Num,"Calibrated electricity usage for second refrigerators, in thousand Btu, 2020",0-6664.65,End-use Model,,,Numerical,0,,,,,,
BTUELFRZ,Num,"Calibrated electricity usage for freezers, in thousand Btu, 2020",0-16015.9,End-use Model,,,Numerical,0,,,,,,
BTUELCOK,Num,"Calibrated electricity usage for cooking (cooktops, ovens, and ranges), in thousand Btu, 2020",0-10936.43,End-use Model,,,Numerical,0,,,,,,
BTUELMICRO,Num,"Calibrated electricity usage for microwaves, in thousand Btu, 2020",0-2669.92,End-use Model,,,Numerical,0,,,,,,
BTUELCW,Num,"Calibrated electricity usage for clothes washers, in thousand Btu, 2020",0-2501.55,End-use Model,,,Numerical,0,,,,,,
BTUELCDR,Num,"Calibrated electricity usage for clothes dryers, in thousand Btu, 2020",0-26892.7,End-use Model,,,Numerical,0,,,,,,
BTUELDWH,Num,"Calibrated electricity usage for dishwashers, in thousand Btu, 2020",0-3749.68,End-use Model,,,Numerical,0,,,,,,
BTUELLGT,Num,"Calibrated electricity usage for indoor and outdoor lighting, in thousand Btu, 2020",13.34-49415.47,End-use Model,,,Numerical,0,,,,,,
BTUELTVREL,Num,"Calibrated electricity usage for televisions and related peripherals, in thousand Btu, 2020",0-20169.84,End-use Model,,,Numerical,0,,,,,,
BTUELTV1,Num,"Calibrated electricity usage for first televisions, in thousand Btu, 2020",0-6819.53,End-use Model,,,Numerical,0,,,,,,
BTUELTV2,Num,"Calibrated electricity usage for second televisions, in thousand Btu, 2020",0-4818.93,End-use Model,,,Numerical,0,,,,,,
BTUELTV3,Num,"Calibrated electricity usage for third televisions, in thousand Btu, 2020",0-4782.52,End-use Model,,,Numerical,0,,,,,,
BTUELAHUHEAT,Num,"Calibrated electricity usage for distributing space heating via furnace fans and boiler pumps, in thousand Btu, 2020",0-33174.25,End-use Model,,,Numerical,0,,,,,,
BTUELAHUCOL,Num,"Calibrated electricity usage for furnace fans used for cooling, in thousand Btu, 2020",0-30887.84,End-use Model,,,Numerical,0,,,,,,
BTUELCFAN,Num,"Calibrated electricity usage for ceiling fans, in thousand Btu, 2020",0-7679.32,End-use Model,,,Numerical,0,,,,,,
BTUELDHUM,Num,"Calibrated electricity usage for dehumidifiers, in thousand Btu, 2020",0-38561.59,End-use Model,,,Numerical,0,,,,,,
BTUELHUM,Num,"Calibrated electricity usage for humidifiers, in thousand Btu, 2020",0-6481.59,End-use Model,,,Numerical,0,,,,,,
BTUELPLPMP,Num,"Calibrated electricity usage for swimming pool pumps, in thousand Btu, 2020",0-55846.21,End-use Model,,,Numerical,0,,,,,,
BTUELHTBPMP,Num,"Calibrated electricity usage for hot tub pumps, in thousand Btu, 2020",0-7569.33,End-use Model,,,Numerical,0,,,,,,
BTUELHTBHEAT,Num,"Calibrated electricity usage for hot tub heaters, in thousand Btu, 2020",0-22156.46,End-use Model,,,Numerical,0,,,,,,
BTUELEVCHRG,Num,"Calibrated electricity usage for charging electric vehicles, in thousand Btu, 2020",0-77599.66,End-use Model,,,Numerical,0,,,,,,
BTUELNEC,Num,"Calibrated electricity usage for other purposes not elsewhere classified, in thousand Btu, 2020",0-558984,End-use Model,,,Numerical,0,,,,,,
BTUELOTH,Num,"Calibrated electricity usage for end uses other than space heating, space cooling, water heating, and refrigerators, in thousand Btu, 2020",52.94-599156.98,End-use Model,,,Numerical,0,,,,,,
DOLELSPH,Num,"Calibrated electricity cost for space heating, main and secondary, in US dollars, 2020",-65.47-5147.51,End-use Model,,,Numerical,0,,,,,,
DOLELCOL,Num,"Calibrated electricity cost for space cooling (central air conditioning, individual units, and evaporative coolers), in US dollars, 2020",-30.45-3570.14,End-use Model,,,Numerical,0,,,,,,
DOLELWTH,Num,"Calibrated electricity cost for water heating, main and secondary, in US dollars, 2020",-32.01-3464.08,End-use Model,,,Numerical,0,,,,,,
DOLELRFG,Num,"Calibrated electricity cost for all refrigerators, in US dollars, 2020",-76.79-1249.18,End-use Model,,,Numerical,0,,,,,,
DOLELRFG1,Num,"Calibrated electricity cost for first refrigerators, in US dollars, 2020",-56.53-761.99,End-use Model,,,Numerical,0,,,,,,
DOLELRFG2,Num,"Calibrated electricity cost for second refrigerators, in US dollars, 2020",-20.26-487.2,End-use Model,,,Numerical,0,,,,,,
DOLELFRZ,Num,"Calibrated electricity cost for freezers, in US dollars, 2020",-8.83-780.69,End-use Model,,,Numerical,0,,,,,,
DOLELCOK,Num,"Calibrated electricity cost for cooking (cooktops, ovens, and ranges), in US dollars, 2020",-5.59-484.78,End-use Model,,,Numerical,0,,,,,,
DOLELMICRO,Num,"Calibrated electricity cost for microwaves, in US dollars, 2020",-15.05-184.23,End-use Model,,,Numerical,0,,,,,,
DOLELCW,Num,"Calibrated electricity cost for clothes washers, in US dollars, 2020",-7.01-107.55,End-use Model,,,Numerical,0,,,,,,
DOLELCDR,Num,"Calibrated electricity cost for clothes dryers, in US dollars, 2020",-7.69-1515.05,End-use Model,,,Numerical,0,,,,,,
DOLELDWH,Num,"Calibrated electricity cost for dishwashers, in US dollars, 2020",-11.56-247.47,End-use Model,,,Numerical,0,,,,,,
DOLELLGT,Num,"Calibrated electricity cost for indoor and outdoor lighting, in US dollars, 2020",-276.43-2916.37,End-use Model,,,Numerical,0,,,,,,
DOLELTVREL,Num,"Calibrated electricity cost for televisions and related peripherals, in US dollars, 2020",-87.01-916.85,End-use Model,,,Numerical,0,,,,,,
DOLELTV1,Num,"Calibrated electricity cost for first televisions, in US dollars, 2020",-16.71-348.83,End-use Model,,,Numerical,0,,,,,,
DOLELTV2,Num,"Calibrated electricity cost for second televisions, in US dollars, 2020",-4.6-188.9,End-use Model,,,Numerical,0,,,,,,
DOLELTV3,Num,"Calibrated electricity cost for third televisions, in US dollars, 2020",-0.51-253.01,End-use Model,,,Numerical,0,,,,,,
DOLELAHUHEAT,Num,"Calibrated electricity cost for distributing space heating via furnace fans and boiler pumps, in US dollars, 2020",-58.15-1185.88,End-use Model,,,Numerical,0,,,,,,
DOLELAHUCOL,Num,"Calibrated electricity cost for furnace fans used for cooling, in US dollars, 2020",-2.9-961.11,End-use Model,,,Numerical,0,,,,,,
DOLELCFAN,Num,"Calibrated electricity cost for ceiling fans, in US dollars, 2020",-5.75-332.77,End-use Model,,,Numerical,0,,,,,,
DOLELDHUM,Num,"Calibrated electricity cost for dehumidifiers, in US dollars, 2020",-3.07-1647.69,End-use Model,,,Numerical,0,,,,,,
DOLELHUM,Num,"Calibrated electricity cost for humidifiers, in US dollars, 2020",-1.03-288.48,End-use Model,,,Numerical,0,,,,,,
DOLELPLPMP,Num,"Calibrated electricity cost for swimming pool pumps, in US dollars, 2020",-23.86-1877.1,End-use Model,,,Numerical,0,,,,,,
DOLELHTBPMP,Num,"Calibrated electricity cost for hot tub pumps, in US dollars, 2020",-53.92-335.08,End-use Model,,,Numerical,0,,,,,,
DOLELHTBHEAT,Num,"Calibrated electricity cost for hot tub heaters, in US dollars, 2020",-151.67-903.73,End-use Model,,,Numerical,0,,,,,,
DOLELEVCHRG,Num,"Calibrated electricity cost for charging electric vehicles, in US dollars, 2020",-33.98-2263.7,End-use Model,,,Numerical,0,,,,,,
DOLELNEC,Num,"Calibrated electricity cost for other purposes not elsewhere classified, in US dollars, 2020",-121.45-13953.5,End-use Model,,,Numerical,0,,,,,,
DOLELOTH,Num,"Calibrated electricity cost for end uses other than space heating, space cooling, water heating, and refrigerators, in US dollars, 2020",-782.24-14956.31,End-use Model,,,Numerical,0,,,,,,
CUFEETNG,Num,"Total natural gas use, in hundred cubic feet, 2020",0-11091.03,End-use Model,,,Numerical,0,,,,,,
BTUNG,Num,"Total natural gas use, in thousand Btu, 2020",0-1134708.69,End-use Model,,,Numerical,1,,,,,,
DOLLARNG,Num,"Total natural gas cost, in dollars, 2020",0-8154.98,End-use Model,,,Numerical,0,,,,,,
NGXBTU,Num,"Conversion factor from hundred cubic feet of natural gas to thousand Btu, including both heat content and housing unit elevation","77-108 With natural gas use
-2 Not applicable, no natural gas use",End-use Model,,,Numerical,0,,,,,,
PERIODNG,Num,Number of days covered by Energy Supplier Survey natural gas billing data and used to calculate annual consumption and expenditures,"1  330 days or more
2  At least 146, but fewer than 330 days
3  At least 60, but fewer than 146 days
4  Fewer than 60 days
5  No billing data collected or billing data not used
-2 Not applicable, no natural gas use",End-use Model,,,Numerical,0,,,,,,
ZNGAMOUNT,Num,Imputation flag for total natural gas use,"0 Not imputed
1 Imputed amount and cost
-2 Not applicable, no natural gas use",End-use Model,,,Categorical,0,,,,,,
BTUNGSPH,Num,"Calibrated natural gas usage for space heating, main and secondary, in thousand Btu, 2020",0-365556.71,End-use Model,,Heating,Numerical,1,,,,,,
